Coordinates,State,County or Parish,Company,Facility,Project,Type,Status,Sector,Potential CO2e (tons/year),Estimated population - 3 miles,Percent people of color - 3 miles,Percent low income - 3 miles
"-80.997058, 39.827551",OH,Monroe,"Ohio Gathering Company, LLC",Larew Compressor Station,Larew Compressor Station.10272-01,Compressor Station,Operating,Natural Gas,86658,926,0,37
"-84.123491, 40.718468",OH,Allen,Lima Refining Company,Lima Refinery,Lima Refinery - Crude Oil Flexibility Project,Refinery,Operating,Oil,309283,40400,31,46
"-84.113953, 40.721478",OH,Allen,"Matheson Tri-Gas, Inc.",Linde Lima Plant,Linde Lima 3.10210-01,Hydrogen Plant,Operating,Oil,262812,40267,32,47
"-84.136881, 40.710166",OH,Allen,"PCS Nitrogen Ohio, L.P.",Nutrien Lima Nitrogen Plant,Nutrien Lima Nitrogen Plant Expansion,Ammonia/Urea Plants,Operating,Synthetic Fertilizers,210587,35385,31,42
"-80.67803, 40.589797",OH,Columbiana,Pallas Nitrogen LLC,Pallas Nitrogen Plant,Pallas Nitrogen - Initial Construction,Ammonia/Urea Plants,Canceled,Synthetic Fertilizers,1494182,5327,6,49
"-81.348219, 39.799995",OH,Noble,"MarkWest Utica EMG, L.L.C.",MarkWest Seneca Gas Plant,MarkWest Seneca Gas Plant - Plants 1 & 2,Gas Processing Plant,Operating,Natural Gas,98142,,0,47
"-83.450684, 41.674646",OH,Lucas,"BP Husky Refining, LLC",Toledo Refinery,Toledo Refinery.10063-01,Refinery,Operating,Oil,152287,26174,26,42
"-81.354071, 40.344537",OH,Tuscarawas,El Paso Midstream Group Inc.,Tuscarawas Gas Processing Plant,Tuscarawas Gas Plant - Initial Construction,Gas Processing Plant,On hold,Petrochemicals and Plastics,97917,2815,4,52
"-80.775029, 39.918022",OH,Belmont,PTTCG America LLC,PTTGCA Petrochemical Complex,PTTGCA Petrochemical Complex - Initial Construction,Plastic Resin Manufacturing,On hold,Petrochemicals and Plastics,1785000,13509,2,41
"-80.936386, 40.3325",OH,Harrison,"MarkWest Ohio Fractionation Company, L.L.C",MarkWest Hopedale Fractionation Facility,Hopedale Fractionation Train 2,Natural Gas Liquids Fractionator,Operating,Petrochemicals and Plastics,112837,1876,3,38
"-80.936386, 40.3325",OH,Harrison,"MarkWest Ohio Fractionation Company, L.L.C",MarkWest Hopedale Fractionation Facility,Hopedale Fractionation Train 3,Natural Gas Liquids Fractionator,Operating,Petrochemicals and Plastics,162238.33,1876,3,38
"-80.936386, 40.3325",OH,Harrison,"MarkWest Ohio Fractionation Company, L.L.C",MarkWest Hopedale Fractionation Facility,Hopedale Fractionation Train 4,Natural Gas Liquids Fractionator,Operating,Petrochemicals and Plastics,125674,1876,3,38
"-80.936386, 40.3325",OH,Harrison,"MarkWest Ohio Fractionation Company, L.L.C",MarkWest Hopedale Fractionation Facility,Hopedale Fractionation Train 5,Natural Gas Liquids Fractionator,Operating,Petrochemicals and Plastics,180189,1876,3,38
"-81.023151, 40.259447",OH,Harrison,"MarkWest Utica EMG, L.L.C.",MarkWest Cadiz Gas Plant,Cadiz II Gas Processing Plant and DeC2 Plant,Natural Gas Liquids Fractionator,Operating,Petrochemicals and Plastics,80362,3342,13,34
"-81.023151, 40.259447",OH,Harrison,"MarkWest Utica EMG, L.L.C.",MarkWest Cadiz Gas Plant,Cadiz III Gas Processing Plant,Gas Processing Plant,Operating,Natural Gas,,3342,13,34
"-81.348219, 39.799995",OH,Noble,"MarkWest Utica EMG, L.L.C.",MarkWest Seneca Gas Plant,MarkWest Seneca Gas Plant - Plant 3,Gas Processing Plant,Operating,Natural Gas,26540,,0,47
"-81.348219, 39.799995",OH,Noble,"MarkWest Utica EMG, L.L.C.",MarkWest Seneca Gas Plant,MarkWest Seneca Gas Plant - Plants 4 & 5,Gas Processing Plant,Operating,Natural Gas,78305,,0,47
"-80.836102, 39.793324",OH,Monroe,Powhatan Salt Company LLC,Mountaineer NGLs Storage Hub,"Mountaineer NGLs Salt-1, Salt-2, and Salt-3 Wells",Natural Gas Liquids Storage Facility,Pre-construction,Petrochemicals and Plastics,,707,1,33
"-81.01682, 40.256924",OH,,"Harrison Power, LLC",Harrison Power Plant,Harrison Power Plant - Initial Construction,Gas-Fired Power Plant,Pre-construction,Natural Gas,3869424.69,,,
"-96.0189, 33.98282",OK,Bryan,Midship Pipeline Company LLC,Bennington Compressor Station,Bennington Compressor Station,Compressor Station,Operating,Natural Gas,151016,631,29,46
"-99.826, 35.374",OK,Beckham,Mid-America Midstream Gas Services,Buffalo Creek Gas Processing Plant,Buffalo Creek Gas Processing Plant,Gas Processing Plant,Operating,Natural Gas,198607,86,14,36
"-98.11393, 35.50656",OK,Canadian,Midship Pipeline Company LLC,Calumet Compressor Station,Calumet Compressor Station,Compressor Station,Operating,Natural Gas,108560,183,18,27
"-97.7639, 36.37858",OK,Garfield,Koch Fertilizer Enid LLC,Koch Fertilizer Plant,Enid Nitrogen Plant - Capacity Expansion Project,Ammonia/Urea Plants,Operating,Synthetic Fertilizers,1154153,210,7,27
"-97.7639, 36.37858",OK,Garfield,Koch Fertilizer Enid LLC,Koch Fertilizer Plant,Enid Nitrogen Plant - Engines Project.10201-03,Ammonia/Urea Plants,Operating,Synthetic Fertilizers,18909,210,7,27
"-97.7639, 36.37858",OK,Garfield,Koch Fertilizer Enid LLC,Koch Fertilizer Plant,Enid Nitrogen Plant - UR2 Improvements Project,Ammonia/Urea Plants,Pre-construction,Synthetic Fertilizers,91011,210,7,27
"-96.00157, 36.12599",OK,Tulsa,HollyFrontier Tulsa Refining LLC,Holly Tulsa Refinery,Tulsa Refinery Expansion,Refinery,Operating,Oil,2242311,51464,32,38
"-98.055966, 36.606835",OK,Grant,"Southern Star Central Gas Pipeline, Inc.",Nash Compressor Station,Nash Compressor Station,Compressor Station,Operating,Natural Gas,16355.6,50,9,26
"-98.75314, 36.66771",OK,Woods,Mid-America Midstream Gas Services,Rose Valley and Hopeton Plant,Rose Valley and Hopeton Plant.10233-01,Gas Processing Plant,Operating,Natural Gas,203217,38,12,29
"-97.58534, 34.49243",OK,Stephens,Midship Pipeline Company LLC,Sholem Booster Station,Sholem Booster Station,Compressor Station,Operating,Natural Gas,10870.4,,19,33
"-95.278481, 36.242761",OK,Mayes,Pryor Chemical,Pryor Chemical Fertilizer Plant,Pryor Chemical - Ammonia/Urea Restart Project,Ammonia/Urea Plants,Operating,Synthetic Fertilizers,140420,1687,35,32
"-97.47542, 34.52105",OK,Garvin,Midship Pipeline Company LLC,Tatums Compressor Station,Tatums Compressor Station,Compressor Station,Operating,Natural Gas,157921,,26,33
"-98.7635, 36.6526",OK,Woods,"Atlas Pipeline Mid-Continent WestOK, LLC",Waynoka Natural Gas Processing Plant,Waynoka Natural Gas Processing Plant.10051-01,Gas Processing Plant,Operating,Natural Gas,78885,16,12,29
"-97.1639, 34.6325",OK,Garvin,"Wynnewood Refining Company, LLC",Wynnewood Refinery,Wynnewood Refinery Hydrocracker Restoration and New Hydrogen Plant,Refinery,Operating,Oil,116905,2657,26,43
"-96.76277, 35.93083",OK,Lincoln,"Keyera Energy, Inc.",Wildhorse Terminal,Wildhorse Terminal - Initial Construction,Crude Oil Terminal,Operating,Oil,,2750,21,37
"-119.615458, 45.618539",OR,Morrow,Gas Transmission Northwest LLC,Coyote Springs Compressor Station,Coyote Springs Compressor Station.10174-01,Compressor Station,Pre-construction,Natural Gas,13402,31,12,44
"-124.258708, 43.428671",OR,Coos,Jordan Cove Energy Project LP,Jordan Cove LNG Terminal,Jordan Cove LNG Terminal - Initial Construction,Liquefied Natural Gas Terminal or Liquefaction Plant,Canceled,Liquefied Natural Gas,1969795,13746,19,37
"-121.374073, 42.033915",OR,Klamath,"Williams Pacific Connector Gas Operator, LLC",Klamath Compressor Station,Klamath Compressor Station - Initial Construction,Compressor Station,Canceled,Natural Gas,231035,,53,46
"-80.380335, 40.331198",PA,Washington,"MarkWest Liberty Midstream & Resources, LLC",3 Brothers Compressor Station,3 Brothers Compressor Station - Re-permitting,Compressor Station,Operating,Natural Gas,116031,3439,1,30
"-79.083326, 40.432091",PA,Indiana,"Texas Eastern Transmission, LP",Armagh Compressor Station,Armagh Compressor Station,Compressor Station,Operating,Natural Gas,207046,1741,5,26
"-79.994868, 40.081596",PA,Washington,"EQM Poseidon Midstream, LLC",Blue Moon Compressor Station,Blue Moon Compressor Station,Compressor Station,Pre-construction,Natural Gas,227957,6034,5,31
"-80.482473, 40.113642",PA,Washington,"MarkWest Liberty Midstream & Resources, LLC",Carpenter Compressor Station,Carpenter Compressor Station,Compressor Station,Operating,Natural Gas,83455,1758,2,31
"-76.22439, 41.299705",PA,Luzerne,"Transcontinental Gas Pipe Line Company, LLC",Compressor Station 607,Compressor Station 607,Compressor Station,Under construction,Natural Gas,208299.49,842,3,27
"-76.44922, 41.10687",PA,Columbia,"Transcontinental Gas Pipe Line Company, LLC",Compressor Station 610,Compressor Station 610,Compressor Station,Under construction,Natural Gas,133155,2135,3,27
"-76.473615, 40.676298",PA,Schuylkill,"Transcontinental Gas Pipe Line Company, LLC",Compressor Station 620,Compressor Station 620,Compressor Station,Under construction,Natural Gas,128660.79,2321,2,32
"-78.139325, 40.309485",PA,Huntingdon,"Texas Eastern Transmission, LP",Entriken Compressor Station,Entriken Compressor Station.10352-01,Compressor Station,Operating,Natural Gas,110640,178,7,31
"-80.357286, 40.40122",PA,Washington,"MarkWest Liberty Midstream & Resources, LLC",Harmon Creek Gas Plant,Harmon Creek Gas Plant.10223-01,Gas Processing Plant,Operating,Natural Gas,79795,3722,3,29
"-79.740344, 40.239329",PA,Westmoreland,"Laurel Mountain Midstream, LLC",Herminie Compressor Station,Herminie Compressor Station.10207-01,Compressor Station,Operating,Natural Gas,106592,9157,2,28
"-77.031564, 41.998566",PA,Tioga,"Empire Pipeline, Inc.",Jackson Compressor Station,Jackson Compressor Station,Compressor Station,Operating,Natural Gas,91488,1225,3,26
"-76.236592, 41.654811",PA,Bradford,Bradford County Real Estate Partners LLC,Bradford County LNG Facility,Bradford County LNG Facility - Initial Construction,Liquefied Natural Gas Terminal or Liquefaction Plant,Pre-construction,Liquefied Natural Gas,1107679,1782,5,29
"-75.424084, 39.811318",PA,Delaware,Energy Transfer Partners,Marcus Hook Industrial Complex,Marcus Hook Expansion Projects,Natural Gas Liquids Storage Facility,Operating,Petrochemicals and Plastics,223200,48079,40,35
"-75.424084, 39.811318",PA,Delaware,Energy Transfer Partners,Marcus Hook Industrial Complex,Marcus Hook - Project Phoenix,Natural Gas Liquids Storage Facility,Unknown,Petrochemicals and Plastics,47062,48079,40,35
"-78.497458, 41.704803",PA,McKean,National Fuel Gas Supply Corporation,Marvindale Compressor Station,Marvindale Compressor Station,Compressor Station,Operating,Natural Gas,70253,113,8,41
"-80.336211, 40.667899",PA,Beaver,"Shell Chemical Appalachia, LLC",Shell Chemical Appalachia Petrochemicals Complex,Shell Chemical Appalachia Petrochemicals Complex - Initial Construction,Ethylene Cracker,Under construction,Petrochemicals and Plastics,2303645,20658,5,21
"-80.129538, 39.916543",PA,Greene,"Equitrans, LP",Redhook Compressor Station,Redhook Compressor - Initial Construction,Compressor Station,Operating,Natural Gas,168000,7562,19,24
"-80.349167, 40.41194",PA,Washington,ETC Northeast Pipeline LLC,Revolution Cryogenic Plant,Revolution Cryogenic Plant - Unit 1,Gas Processing Plant,Operating,Natural Gas,82112,2504,4,31
"-79.841136, 39.927947",PA,Fayette,"Laurel Mountain Midstream, LLC",Shamrock Compressor Station,Shamrock Compressor Station.10206-01,Compressor Station,Operating,Natural Gas,183497,5707,7,37
"-80.356669, 40.41765",PA,Washington,"MarkWest Liberty Midstream & Resources, LLC",Smith Compressor Station,Smith Compressor - Initial Construction,Compressor Station,Operating,Natural Gas,92270,2204,5,31
"-77.836069, 41.435943",PA,Clinton,National Fuel Gas Supply Corporation,Tamarack Compressor Station,Tamarack Compressor Station,Compressor Station,Operating,Natural Gas,96587,96,11,27
"-75.67207, 41.172583",PA,Luzerne,"Transcontinental Gas Pipe Line Company, LLC",REAE Compressor Station 515,Compressor Station 515 - Regional Energy Access (REAE) Pipeline Expansion,Compressor Station,Pre-construction,Natural Gas,511413,819,4,15
"-76.15066, 40.409106",PA,Berks,"Texas Eastern Transmission, LP","Bernville Compressor Station ",Bernville Compressor Station Project,Compressor Station,Operating,Natural Gas,-67025,3408,8,18
"-75.664853, 41.081939",PA,Carbon,PennEast Pipeline Company LLC,Kidder Compressor Station,Kidder Compressor Station,Compressor Station,Canceled,Natural Gas,190529,369,13,42
"-75.796905, 41.578023",PA,Wyoming,"Transcontinental Gas Pipe Line Company, LLC",Compressor Station 605,Compressor Station 605 - Leidy South Expansion Project,Compressor Station,Under construction,Natural Gas,,4067,6,28
"-75.43794, 39.814814",PA,Delaware,Adelphia Gateway LLC,Marcus Hook Compressor Station,Marcus Hook Compressor - Initial Construction,Compressor Station,Under construction,Natural Gas,31348,58937,32,28
"-75.587998, 40.04846",PA,Chester,"Transcontinental Gas Pipe Line Company, LLC",Compressor Station 200,Compressor Station 200 - NE Supply Enhancement Expansion Project,Compressor Station,Pre-construction,Natural Gas,200,31206,23,9
"-75.330751, 40.407023",PA,Bucks,Adelphia Gateway LLC,Quakertown Compressor Station,Adelphia Pipeline Quakertown Compressor,Compressor Station,Under construction,Natural Gas,31348,27287,10,21
,PA,Clinton,KeyState Natural Gas Synthesis Energy,KeyState Natural Gas Synthesis Plant,KeyState Natural Gas Synthesis Plant - Initial Construction,Ammonia/Urea Plants,Announced,Synthetic Fertilizers,,,,
"-79.69688, 40.175302",PA,Westmoreland,Tenaska PA Parners LLC,Tenaska Westmoreland Generating Station,Tenaska Westmoreland Generating Station - Initial Construction,Gas-Fired Power Plant,Operating,Natural Gas,3827574,4034,3,27
"-80.297581, 40.4089",PA,Washington,"Robinson Power Company, LLC",Beech Hollow Robinson Power Plant,Beech Hollow Robinson Power Plant - Initial Construction,Gas-Fired Power Plant,Canceled,Natural Gas,3842431,3590,7,27
"-75.43794, 39.814814",PA,Delaware,Adelphia Gateway LLC,Marcus Hook Compressor Station,Marcus Hook Electric Compression Project,Compressor Station,Pre-construction,Natural Gas,10115,58937,32,28
"-80.254988, 40.262146",PA,Washington,"MarkWest Liberty Midstream & Resources, LLC",MarkWest Houston Complex,Houston Gas Plant No. 4 and De-ethanizer Project,Natural Gas Liquids Fractionator,Pre-construction,Petrochemicals and Plastics,69937,8642,9,25
"-76.055374, 41.180927",PA,Luzerne,Nacero,Nacero Marcellus Facility,Nacero Marcellus Facility - Initial Construction,Gas to Liquids Plant,Announced,Petrochemicals and Plastics,,9142,17,41
"-77.654252, 40.354128",PA,Juniata,"Texas Eastern Transmission, LP",Perulack Compressor Station,Perulack Compressor Unit Replacement Project,Compressor Station,Under construction,Natural Gas,-36099,,2,39
"-75.546041, 41.472321",PA,Lackawanna,Invenergy,Lackawanna Energy Center,Lackawanna Energy Center - Initial Construction,Gas-Fired Power Plant,Operating,Natural Gas,4938598,20602,8,33
"-79.793734, 40.22533",PA,Allegheny,Invenergy,Allegheny Energy Center,Allegheny Energy Center - Initial Construction,Gas-Fired Power Plant,Pre-construction,Natural Gas,1948493,10341,4,24
"-79.930693, 39.893382",PA,,"Hill Top Energy Center, LLC",Hill Top Energy Center,Hill Top Energy Center - Initial Construction,Gas-Fired Power Plant,Operating,Natural Gas,4938598,6336,3,40
"-87.786554, 35.77876",TN,Perry,"Tennessee Gas Pipeline Company, LLC",Compressor Station 79,Compressor Station 79.10347-01,Compressor Station,Operating,Natural Gas,164706,1091,9,58
"-82.551051, 36.535381",TN,Sullivan,Eastman Chemical Company,Eastman Chemical Tennessee Operations,Eastman Chemical TN - Hydrogen Plant No. 6,Hydrogen Plant,Operating,Petrochemicals and Plastics,113578,34413,11,50
"-101.422777, 35.641666",TX,Hutchison,Agrium US Inc,Agrium US Borger Nitrogen Operations,Borger Nitrogen Operations Ammonia/Urea Expansion,Ammonia/Urea Plants,Operating,Synthetic Fertilizers,1531239,10792,31,34
"-95.0458, 29.6225",TX,Harris,Air Liquide Large Industries US LP,Air Liquide Bayport Complex,"Steam Methane Reformer Plant, SMR Furnace ID Fan Replacement Project",Hydrogen Plant,Operating,Petrochemicals and Plastics,,17759,35,19
"-97.2675, 26.00556",TX,Cameron,Annova LNG,Annova LNG Brownsville,Annova LNG Terminal - Initial Construction,Liquefied Natural Gas Terminal or Liquefaction Plant,Canceled,Liquefied Natural Gas,353072,,,
"-93.883961, 29.953919",TX,Jefferson,BASF TOTAL Petrochemicals LLC,BASF TOTAL FINA NAFTA Region Olefins Complex,BASF Ethylene Cracker Furnace Expansion,Ethylene Cracker,Operating,Petrochemicals and Plastics,915542,20725,49,42
"-96.020045, 28.862886",TX,Matagorda,OQ Chemicals,OQ Chemicals Bay City Plant,OQ Chemicals Bay City Propanol II Unit,Other Chemicals,Operating,Petrochemicals and Plastics,28406,126,34,31
"-95.0458, 29.6225",TX,Harris,Air Liquide Large Industries US LP,Air Liquide Bayport Complex,"Bayou Cogeneration Plant, Turbine Replacement Project",Associated Electricity Generation,Operating,Petrochemicals and Plastics,2572215,17759,35,19
"-95.009625, 29.759067",TX,Harris,Exxon Mobil Corporation,ExxonMobil Chemical Baytown Olefins Plant,Baytown Ethylene Unit Expansion,Ethylene Cracker,Operating,Petrochemicals and Plastics,1453293,41868,74,42
"-95.253888, 29.699166",TX,Harris,TPC Group LLC,TPC Group - Houston Plant,TPC Group - BD Expansion Project,Plastic Resin Manufacturing,Pre-construction,Petrochemicals and Plastics,274494,129932,93,53
"-94.055312, 30.030489",TX,Jefferson,Natgasoline LLC,Beaumont Gas to Gasoline Plant,Beaumont Gas to Gasoline Plant - Initial Construction,Methanol Plant,Partially operating,Petrochemicals and Plastics,1175081,18987,71,54
"-94.058096, 30.059865",TX,Jefferson,Arkema Inc.,Arkema Beaumont Plant,Beaumont Plant,Other Chemicals,Operating,Petrochemicals and Plastics,153939,19532,81,61
"-94.02955, 30.013686",TX,Jefferson,OCI Beaumont LLC,Beaumont Methanol Plant,Beaumont Methanol Process Unit Expansion,Methanol Plant,Operating,Petrochemicals and Plastics,1202314,15296,43,24
"-94.079458, 30.060237",TX,Jefferson,ExxonMobil Oil Corporation,Beaumont Refinery,Beaumont Refinery Expansion,Refinery,Under construction,Oil,414961,30708,83,60
"-93.994483, 29.988527",TX,Jefferson,"Phillips 66 Pipeline, LLC",Beaumont Terminal,"Beaumont Terminal, Terminal Growth Project.10286-01",Crude Oil Terminal,Operating,Oil,122151,39216,27,27
"-96.651156, 27.889361",TX,Nueces,Bluewater Texas Terminals LLC,Bluewater SPM Deepwater Port,Bluewater SPM Deepwater Port - Initial Construction,Crude Oil Terminal,Pre-construction,Oil,185453,,,
"-97.067344, 27.850475",TX,Nueces,Bluewater Texas Terminals LLC,Harbor Island Booster Station,Harbor Island Booster Station - Initial Construction,Other Pipeline Infrastructure,Pre-construction,Oil,,,13,28
"-97.37606, 25.96422",TX,Cameron,Bluewing Midstream LLC,Bluewing Phase III Terminal,Bluewing Phase III Terminal Expansion,Crude Oil Terminal,Pre-construction,Oil,,4751,98,69
"-101.36305, 35.699444",TX,Hutchison,Phillips 66 Company,Borger Refinery,Borger Refinery Boiler Project,Refinery,Operating,Oil,720045,6083,40,42
"-101.36305, 35.699444",TX,Hutchison,Phillips 66 Company,Borger Refinery,"Borger Refinery, Crude Flexibility and Modernization Project",Refinery,Pre-construction,Oil,470082.58,6083,40,42
"-94.896372, 30.009645",TX,Liberty,Brightmark Plastics Renewal Texas LLC,Brightmark Plastics Renewal TX - Dayton Yard Facility,Dayton Yard Plastics Renewal Facility,Plastics-to-Fuel Plant,Pre-construction,Petrochemicals and Plastics,15220,4649,31,26
"-97.192777, 27.826944",TX,San Patricio,South Texas Gateway Operating LLC,Buckeye South Texas Gateway Terminal,Buckeye South Texas Gateway Terminal - Initial Construction,Crude Oil Terminal,Operating,Oil,174685,3382,52,39
"-94.923369, 29.823097",TX,Harris,"Chevron Phillips Chemical Company, LP",Chevron Phillips Chemical - Cedar Bayou Plant,Cedar Bayou - Ethylene Production Expansion,Ethylene Cracker,Operating,Petrochemicals and Plastics,1405912,14072,47,23
"-93.7811, 30.04806",TX,Orange,"Chevron Phillips Chemical Company, LP",Chemical Orange Polyethylene Plant,Chemical Orange Polyethylene Plant Expansion,Ethylene Cracker,Pre-construction,Petrochemicals and Plastics,3891942,7079,21,29
"-95.192963, 29.226668",TX,Brazoria,INEOS USA LLC,INEOS Chocolate Bayou Chemical Plant,Chocolate Bayou Steam Generating Station,Associated Electricity Generation,Operating,Petrochemicals and Plastics,1556150,85,26,13
"-95.213227, 29.248919",TX,Brazoria,C3 Petrochemicals LLC,Chocolate Bayou PDH Plant,Chocolate Bayou PDH Plant - Initial Construction,Propylene Dehydrogenation (PDH) Plant,Canceled,Petrochemicals and Plastics,795940,451,29,15
"-95.192963, 29.226668",TX,Brazoria,INEOS USA LLC,INEOS Chocolate Bayou Chemical Plant,Chocolate Bayou Cracking Furnace Expansion,Ethylene Cracker,Operating,Petrochemicals and Plastics,216654,85,26,13
"-95.066829, 29.621261",TX,Harris,Celanese Corporation,Celanese Clear Lake Plant,Clear Lake Methanol Plant - New Methanol Unit,Methanol Plant,Operating,Petrochemicals and Plastics,535218,21967,36,13
"-96.124722, 29.402222",TX,Wharton,"Natural Gas Pipeline Company of America, LLC",NGPL Compressor Station 301,NGPL Compressor Station 301,Compressor Station,Operating,Natural Gas,70699,480,55,33
"-94.428888, 32.408333",TX,Harrison,"Natural Gas Pipeline Company of America, LLC",NGPL Compressor Station 304,NGPL Compressor Station 304,Compressor Station,Operating,Natural Gas,184284,89,17,14
"-97.484167, 27.826111",TX,Nueces,Port of Corpus Christi Authority of Nueces County,CCI Corpus Christi Condensate Splitter Facility,CCI Corpus Christi Condensate Splitter Facility - Initial Construction,Condensate Splitter,On hold,Oil,207771,6366,81,54
"-97.506679, 27.817729",TX,Nueces,Buckeye Texas Processing LLC,EF90 Corpus Christi Condensate Splitter and Terminal Facility,Buckeye Texas Processing - Corpus Christi Condensate Splitter,Condensate Splitter,Operating,Oil,155175,7432,80,47
"-97.270114, 27.883675",TX,San Patricio,Corpus Christi Liquefaction Stage III LLC,Corpus Christi LNG Terminal,"Corpus Christi LNG Trains 1, 2, and 3",Liquefied Natural Gas Terminal or Liquefaction Plant,Operating,Liquefied Natural Gas,5538226,8068,42,17
"-97.270114, 27.883675",TX,San Patricio,Corpus Christi Liquefaction Stage III LLC,Corpus Christi LNG Terminal,Corpus Christi LNG - Stage III Expansion Project,Liquefied Natural Gas Terminal or Liquefaction Plant,Pre-construction,Liquefied Natural Gas,900845,8068,42,17
"-97.430849, 27.812534",TX,Nueces,"Magellan Terminal Holdings, LP",Magellan Corpus Christi Terminal,Magellan Corpus Christi Terminal - New Condensate Splitter,Condensate Splitter,Partially operating,Oil,237204,35666,88,64
"-94.915119, 29.745828",TX,Chambers,Covestro LLC,Covestro Industrial Park - Baytown Plant,Covestro Baytown Plant Expansion,Plastic Resin Manufacturing,Announced,Petrochemicals and Plastics,,29054,57,33
"-95.380138, 28.98617",TX,Brazoria,Dow Chemical Company,Dow Texas Operations Freeport,Dow Freeport Light Hydrocarbons Plant No. 9,Ethylene Cracker,Operating,Petrochemicals and Plastics,2361294,14459,79,54
"-95.380138, 28.98617",TX,Brazoria,Dow Chemical Company,Dow Texas Operations Freeport,Dow Freeport Light Hydrocarbons Plant No. 9 Expansion Project,Ethylene Cracker,Operating,Petrochemicals and Plastics,580924,14459,79,54
"-95.380138, 28.98617",TX,Brazoria,Dow Chemical Company,Dow Texas Operations Freeport,Dow Freeport - Polyethylene Plant No. 7,Plastic Resin Manufacturing,Pre-construction,Petrochemicals and Plastics,70349,14459,79,54
"-94.688021, 32.439076",TX,Harrison,Eastman Chemical Company,Eastman Chemical Texas Operations,Eastman Chemical Texas Operations - Hydrocarbon Cracking Plant No. 4.10129-01,Ethylene Cracker,Operating,Petrochemicals and Plastics,,7425,65,41
"-95.116421, 29.8308",TX,Harris,Equistar Chemicals LP,Equistar Chemicals Channelview Complex,Channelview Methanol Reformer Restart,Methanol Plant,Operating,Petrochemicals and Plastics,831675,28537,85,37
"-95.116421, 29.8308",TX,Harris,Equistar Chemicals LP,Equistar Chemicals Channelview Complex,"Channelview Olefins Production Units 1 and 2, Cracking Furnace Expansion",Ethylene Cracker,Operating,Petrochemicals and Plastics,602000,28537,85,37
"-95.116421, 29.8308",TX,Harris,Equistar Chemicals LP,Equistar Chemicals Channelview Complex,Channelview PHD/PP Units,Propylene Dehydrogenation (PDH) Plant,Pre-construction,Petrochemicals and Plastics,473443.08,28537,85,37
"-95.11008, 29.817193",TX,Harris,Lyondell Chemical Company,Equistar Chemicals Channelview Complex,Channelview PO/TBA Units,Plastic Resin Manufacturing,Commissioning,Petrochemicals and Plastics,822945,36923,81,40
"-95.25106, 29.705991",TX,Harris,"Flint Hills Resources Houston Chemical, LLC",Flint Hills Resources Houston Chemical Plant,Flint Hills Houston - Propylene Capacity Expansion,Propylene Dehydrogenation (PDH) Plant,Operating,Petrochemicals and Plastics,1012080,117798,93,52
"-95.32537, 28.925868",TX,Brazoria,"Freeport LNG Development, L.P.",Freeport LNG - Pretreatment Facility,Freeport LNG Export Terminal & Pretreatment Facility,Liquefied Natural Gas Terminal or Liquefaction Plant,Operating,Liquefied Natural Gas,1580866,4845,79,55
"-95.218611, 29.735833",TX,Harris,Kinder Morgan Crude & Condensate LLC,Kinder Morgan Condensate Splitter Facility,Kinder Morgan Condensate Splitter - Initial Construction,Condensate Splitter,Operating,Oil,243545,61291,92,57
"-94.925, 29.37444",TX,Galveston,Blanchard Refining Co.,Galveston Bay Refinery,Galveston Bay Refinery - PS3B Revamp/RHU Revamp/New DHT Project,Refinery,Under construction,Oil,851305,37060,63,49
"-93.909994, 29.754662",TX,Jefferson,Golden Pass LNG Terminal LLC,Golden Pass LNG Export Terminal,Golden Pass LNG Export Terminal - Initial Construction,Liquefied Natural Gas Terminal or Liquefaction Plant,Under construction,Liquefied Natural Gas,4940072,334,14,18
"-94.9383, 30.6097",TX,Polk,"Gulf South Pipeline Company, LP",Goodrich Compressor Station,Goodrich Compressor Station,Compressor Station,Operating,Natural Gas,65899,2403,40,36
"-95.15111, 29.74861",TX,Harris,Gulf Access Terminal LLC,Gulf Access Bulk Liquids Storage Terminal,Gulf Access Bulk Liquids Storage Terminal,Crude Oil Terminal,Pre-construction,Oil,137976,30295,83,56
"-94.89018, 29.38407",TX,Galveston,Air Products Industrial Gas LLC,Gulf Coast Ammonia Plant,Gulf Coast Ammonia Plant,Ammonia/Urea Plants,Pre-construction,Synthetic Fertilizers,,23332,58,46
"-97.35528, 25.96111",TX,Cameron,"Jupiter Brownsville, LLC",Jupiter Brownsville Condensate Splitter Facility,Jupiter Brownsville - Heavy Condensate Upgrader Project,Condensate Splitter,Pre-construction,Oil,1236362,157,90,82
"-96.626258, 29.469923",TX,Colorado,Copano Processing LLC,Copano Processing Houston Central Gas Plant,Copano Houston Gas Plant - Cryogenic Plant No. 3,Natural Gas Liquids Fractionator,Operating,Petrochemicals and Plastics,201871,213,29,34
"-97.504166, 27.831111",TX,Nueces,"Buckeye Texas Hub, LLC",Buckeye Texas Hub,Buckeye Texas Hub Expansion,Crude Oil Terminal,Partially operating,Oil,165595,6054,80,43
"-95.06111, 29.70639",TX,Harris,Equistar Chemicals LP,Equistar La Porte Complex,Equistar La Porte - Cracking Furnace Expansion,Ethylene Cracker,Operating,Petrochemicals and Plastics,606483,16089,40,23
"-97.526412, 33.311964",TX,Wise,Targa Gas Processing LLC,Longhorn Gas Plant,Longhorn Gas Plant - Initial Construction,Gas Processing Plant,Canceled,Natural Gas,229173,556,9,10
