,,Total Vote,B,T,P,Margin,Margin (%),,Biden,Trump,Pierce,Other,Biden,Trump,Pierce,Jorgensen,Hawkins,Blankenship,de la Fuente,West,La Riva,Write-ins,Kennedy,Myers,Carroll,Collins,Huber,Segal,Janos,Kopitke,Hunter,Kishore,Hammons,Boddie,Charles,Duncan,Hoefling,Jacob-Fambro,King,LaFontaine,McCormic,McHugh,Paige,Scalf,Scott,Simmons,Swing,Tittle,None,Gammon,,J,H,B,d,Jorgensen,Hawkins,Blankenship,de la Fuente,,,,CD,,ST,CTY,FIPS,FIPS2010,LSAD_TRANS,Blank/Under,Void/Over,,,,,,,,,,Total Vote (county report),Total Write-ins,Other,,Qualified Write-ins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meigs,OH,"10,967",,,0,"5,824",53.10%,,22.72%,75.83%,0.00%,1.45%,"2,492","8,316",,111,32,,,,,16,,,0,,,,,,0,,,0,,,0,,,,,,,,,0,,,,,,,,0,0,1.01%,0.29%,0.00%,0.00%,,Meigs,OH,6,,39,105,39105,39105,County,94,30,,,,https://www.boe.ohio.gov/meigs/,,,,,0,"10,967",16,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mercer,OH,"23,784",,,0,"15,422",64.84%,,16.94%,81.79%,0.00%,1.27%,"4,030","19,452",,204,67,,,,,23,,,8,,,,,,0,,,0,,,0,,,,,,,,,0,,,,,,,,0,0,0.86%,0.28%,0.00%,0.00%,,Mercer,OH,,,39,107,39107,39107,County,,,,,,https://elections.mercercountyohio.gov,,,,,-358,"23,426",31,Unoff,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miami,OH,"58,077",,,0,"25,708",44.27%,,26.97%,71.23%,0.00%,1.80%,"15,663","41,371",,782,139,,,,,105,,,15,,,,,,0,,,0,,,1,,,,,,,,,1,,,,,,,,0,0,1.35%,0.24%,0.00%,0.00%,,Miami,OH,8,,39,109,39109,39109,County,221,63,,,,https://www.boe.ohio.gov/miami/,,,,,0,"58,077",122,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monroe,OH,"7,159",,,0,"3,858",53.89%,,22.42%,76.31%,0.00%,1.27%,"1,605","5,463",,54,26,,,,,11,,,0,,,,,,0,,,0,,,0,,,,,,,,,0,,,,,,,,0,0,0.75%,0.36%,0.00%,0.00%,,Monroe,OH,6,,39,111,39111,39111,County,90,0,,,,https://www.boe.ohio.gov/monroe/,,,,,0,"7,159",11,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montgomery,OH,"269,164",,,0,"6,030",2.24%,,50.18%,47.94%,0.00%,1.88%,"135,064","129,034",,"3,418",884,,,,,661,,,85,,,,,,0,,,0,,,2,,,,,,,,,16,,,,,,,,0,0,1.27%,0.33%,0.00%,0.00%,,Montgomery,OH,10,,39,113,39113,39113,County,,,,,,https://www.montgomery.boe.ohio.gov,,,,,0,"269,164",764,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morgan,OH,"6,856",,,0,"3,316",48.37%,,25.16%,73.53%,0.00%,1.31%,"1,725","5,041",,64,17,,,,,9,,,0,,,,,,0,,,0,,,0,,,,,,,,,0,,,,,,,,0,0,0.93%,0.25%,0.00%,0.00%,,Morgan,OH,15,,39,115,39115,39115,County,,,,,,https://www.morgancounty-oh.gov/boe.html,,,,,0,"6,856",9,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morrow,OH,"18,468",,,0,"10,029",54.30%,,21.92%,76.22%,0.00%,1.86%,"4,048","14,077",,257,70,,,,,11,,,2,,,,,,0,,,0,,,2,,,,,,,,,1,,,,,,,,0,0,1.39%,0.38%,0.00%,0.00%,,Morrow,OH,12,,39,117,39117,39117,County,,,,,,https://boe.morrowcountyohio.gov,,,,,0,"18,468",16,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Muskingum,OH,"40,467",,,0,"15,896",39.28%,,29.58%,68.86%,0.00%,1.55%,"11,971","27,867",,459,163,,,,,2,,,4,,,,,,0,,,0,,,0,,,,,,,,,1,,,,,,,,0,0,1.13%,0.40%,0.00%,0.00%,,Muskingum,OH,,,39,119,39119,39119,County,,,,,,https://www.muskingumcountyoh.gov/Agencies/Board-of-Elections/,,,,,0,"40,467",7,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noble,OH,"6,348",,,0,"3,965",62.46%,,18.43%,80.89%,0.00%,0.68%,"1,170","5,135",,25,13,,,,,5,,,0,,,,,,0,,,0,,,0,,,,,,,,,0,,,,,,,,0,0,0.39%,0.20%,0.00%,0.00%,,Noble,OH,6,,39,121,39121,39121,County,,,,,,https://www.boe.ohio.gov/noble/,,,,,0,"6,348",5,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ottawa,OH,"24,046",,,0,"5,620",23.37%,,37.46%,60.83%,0.00%,1.71%,"9,008","14,628",,292,74,,,,,39,,,5,,,,,,0,,,0,,,0,,,,,,,,,0,,,,,,,,0,0,1.21%,0.31%,0.00%,0.00%,,Ottawa,OH,,,39,123,39123,39123,County,,,,,,https://boe.ottawa.oh.gov/,,,,,197,"24,243",44,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paulding,OH,"9,484",,,0,"4,873",51.38%,,23.33%,74.72%,0.00%,1.95%,"2,213","7,086",,124,38,,,,,17,,,5,,,,,,1,,,0,,,0,,,,,,,,,0,,,,,,,,0,0,1.31%,0.40%,0.00%,0.00%,,Paulding,OH,5,,39,125,39125,39125,County,,,,,,https://www.boe.ohio.gov/paulding/,,,,,0,"9,484",23,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perry,OH,"16,676",,,0,"8,259",49.53%,,24.57%,74.10%,0.00%,1.33%,"4,098","12,357",,170,47,,,,,1,,,2,,,,,,1,,,0,,,0,,,,,,,,,0,,,,,,,,0,0,1.02%,0.28%,0.00%,0.00%,,Perry,OH,15,,39,127,39127,39127,County,,,,,,https://elections.perrycountyohio.gov/,,,,,0,"16,676",4,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pickaway,OH,"28,314",,,0,"13,289",46.93%,,25.80%,72.73%,0.00%,1.47%,"7,304","20,593",,295,65,,,,,44,,,8,,,,,,0,,,1,,,3,,,,,,,,,1,,,,,,,,0,0,1.04%,0.23%,0.00%,0.00%,,Pickaway,OH,15,,39,129,39129,39129,County,160,6,,,,https://www.boe.ohio.gov/pickaway/,,,,,0,"28,314",57,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pike,OH,"12,424",,,0,"6,047",48.67%,,25.03%,73.70%,0.00%,1.26%,"3,110","9,157",,123,22,,,,,12,,,0,,,,,,0,,,0,,,0,,,,,,,,,0,,,,,,,,0,0,0.99%,0.18%,0.00%,0.00%,,Pike,OH,2,,39,131,39131,39131,County,,,,,,https://www.boe.ohio.gov/pike/election-info/election-night-results/,,,,,0,"12,424",12,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portage,OH,"83,022",,,0,"10,329",12.44%,,42.95%,55.39%,0.00%,1.65%,"35,661","45,990",,906,295,,,,,150,,,17,,,,,,0,,,0,,,2,,,,,,,,,1,,,,,,,,0,0,1.09%,0.36%,0.00%,0.00%,,Portage,OH,,,39,133,39133,39133,County,,,,,,https://www.portagecounty-oh.gov/board-elections,,,,,0,"83,022",170,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preble,OH,"21,840",,,0,"12,529",57.37%,,20.57%,77.94%,0.00%,1.49%,"4,493","17,022",,243,51,,,,,31,,,0,,,,,,0,,,0,,,0,,,,,,,,,0,,,,,,,,0,0,1.11%,0.23%,0.00%,0.00%,,Preble,OH,8,,39,135,39135,39135,County,,,,,,https://www.boe.ohio.gov/preble/,,,,,0,"21,840",31,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Putnam,OH,"19,947",,,0,"13,217",66.26%,,16.02%,82.28%,0.00%,1.70%,"3,195","16,412",,247,61,,,,,26,,,6,,,,,,0,,,0,,,0,,,,,,,,,0,,,,,,,,0,0,1.24%,0.31%,0.00%,0.00%,,Putnam,OH,5,,39,137,39137,39137,County,2,23,,,,https://www.boe.ohio.gov/putnam/election-info/election-night-results/,,,,,0,"19,947",32,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Richland,OH,"59,975",,,0,"23,832",39.74%,,29.41%,69.15%,0.00%,1.44%,"17,640","41,472",,680,168,,,,,0,,,12,,,,,,0,,,0,,,2,,,,,,,,,1,,,,,,,,0,0,1.13%,0.28%,0.00%,0.00%,,Richland,OH,,,39,139,39139,39139,County,,,,,,https://www.richlandcountyoh.gov/departments/public_administration/board_of_elections/current_election.php,,,,,0,"59,975",,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ross,OH,"33,365",,,0,"11,721",35.13%,,31.64%,66.77%,0.00%,1.59%,"10,557","22,278",,345,116,,,,,66,,,3,,,,,,0,,,0,,,0,,,,,,,,,0,,,,,,,,0,0,1.03%,0.35%,0.00%,0.00%,,Ross,OH,,,39,141,39141,39141,County,179,14,,,,https://www.boe.ohio.gov/ross/,,,,,0,"33,365",69,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandusky,OH,"30,128",,,0,"8,300",27.55%,,35.17%,62.72%,0.00%,2.11%,"10,596","18,896",,448,132,,,,,54,,,0,,,,,,0,,,0,,,0,,,,,,,,,2,,,,,,,,0,0,1.49%,0.44%,0.00%,0.00%,,Sandusky,OH,4,,39,143,39143,39143,County,254,71,,,,https://sanduskycountyoh.gov/index.php?page=board-of-elections,,,,,0,"30,128",56,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scioto,OH,"32,051",,,0,"13,529",42.21%,,28.33%,70.54%,0.00%,1.13%,"9,080","22,609",,262,91,,,,,4,,,5,,,,,,0,,,0,,,0,,,,,,,,,0,,,,,,,,0,0,0.82%,0.28%,0.00%,0.00%,,Scioto,OH,,,39,145,39145,39145,County,,,,,,https://www.boe.ohio.gov/scioto/,,,,,0,"32,051",9,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seneca,OH,"25,848",,,0,"8,820",34.12%,,31.98%,66.10%,0.00%,1.92%,"8,266","17,086",,357,94,,,,,38,,,4,,,,,,0,,,0,,,3,,,,,,,,,0,,,,,,,,0,0,1.38%,0.36%,0.00%,0.00%,,Seneca,OH,4,,39,147,39147,39147,County,210,10,,,,https://www.boe.ohio.gov/seneca/,,,,,0,"25,848",45,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shelby,OH,"25,293",,,0,"15,957",63.09%,,17.65%,80.74%,0.00%,1.61%,"4,465","20,422",,290,71,,,,,35,,,8,,,,,,0,,,0,,,2,,,,,,,,,0,,,,,,,,0,0,1.15%,0.28%,0.00%,0.00%,,Shelby,OH,4,,39,149,39149,39149,County,79,77,,,,https://www.boe.ohio.gov/shelby/,,,,,0,"25,293",45,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stark,OH,"190,093",,,0,"35,193",18.51%,,39.93%,58.44%,0.00%,1.63%,"75,904","111,097",,"2,163",683,,,,,214,,,26,,,,,,0,,,0,,,1,,,,,,,,,5,,,,,,,,0,0,1.14%,0.36%,0.00%,0.00%,,Stark,OH,,,39,151,39151,39151,County,,,,,,https://starkcountyohio.gov/board-of-elections/election-results,,,,,0,"190,093",246,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Summit,OH,"281,280",,,0,"26,835",9.54%,,53.92%,44.38%,0.00%,1.70%,"151,668","124,833",,"3,003",888,,,,,807,,,66,,,,,,2,,,0,,,3,,,,,,,,,10,,,,,,,,0,0,1.07%,0.32%,0.00%,0.00%,,Summit,OH,,,39,153,39153,39153,County,,,,,,https://www.summitcountyboe.gov,,,,,0,"281,280",888,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trumbull,OH,"101,152",,,0,"10,675",10.55%,,44.01%,54.57%,0.00%,1.42%,"44,519","55,194",,913,356,,,,,151,,,15,,,,,,0,,,0,,,3,,,,,,,,,1,,,,,,,,0,0,0.90%,0.35%,0.00%,0.00%,,Trumbull,OH,,,39,155,39155,39155,County,,,,,,https://boe.co.trumbull.oh.gov,,,,,0,"101,152",170,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuscarawas,OH,"44,087",,,0,"17,569",39.85%,,29.24%,69.09%,0.00%,1.68%,"12,889","30,458",,494,161,,,,,74,,,11,,,,,,0,,,0,,,0,,,,,,,,,0,,,,,,,,0,0,1.12%,0.37%,0.00%,0.00%,,Tuscarawas,OH,,,39,157,39157,39157,County,,,,,,https://www.boe.ohio.gov/tuscarawas/,,,,,0,"44,087",85,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Union,OH,"33,535",,,0,"10,528",31.39%,,33.22%,64.62%,0.00%,2.16%,"11,141","21,669",,535,100,,,,,90,,,0,,,,,,0,,,0,,,0,,,,,,,,,0,,,,,,,,0,0,1.60%,0.30%,0.00%,0.00%,,Union,OH,4,,39,159,39159,39159,County,164,6,,,,https://www.unioncountyohio.gov/election-results,,,,,0,"33,535",90,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Van Wert,OH,"14,994",,,0,"8,583",57.24%,,20.45%,77.70%,0.00%,1.85%,"3,067","11,650",,201,42,,,,,29,,,3,,,,,,0,,,0,,,1,,,,,,,,,1,,,,,,,,0,0,1.34%,0.28%,0.00%,0.00%,,Van Wert,OH,5,,39,161,39161,39161,County,,,,,,https://www.boe.ohio.gov/vanwert/,,,,,0,"14,994",34,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vinton,OH,"6,038",,,0,"3,301",54.67%,,22.04%,76.71%,0.00%,1.24%,"1,331","4,632",,47,17,,,,,9,,,1,,,,,,0,,,0,,,0,,,,,,,,,1,,,,,,,,0,0,0.78%,0.28%,0.00%,0.00%,,Vinton,OH,15,,39,163,39163,39163,County,52,13,,,,https://www.boe.ohio.gov/vinton/,,,,,-136,"5,902",11,Unoff,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warren,OH,"136,441",,,0,"41,919",30.72%,,33.76%,64.49%,0.00%,1.75%,"46,069","87,988",,"1,747",291,,,,,341,,,4,,,,,,0,,,0,,,0,,,,,,,,,1,,,,,,,,0,0,1.28%,0.21%,0.00%,0.00%,,Warren,OH,1,,39,165,39165,39165,County,,,,,,https://vote.warrencountyohio.gov,,,,,0,"136,441",346,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Washington,OH,"32,081",,,0,"13,064",40.72%,,28.81%,69.53%,0.00%,1.66%,"9,243","22,307",,372,109,,,,,50,,,0,,,,,,0,,,0,,,0,,,,,,,,,0,,,,,,,,0,0,1.16%,0.34%,0.00%,0.00%,,Washington,OH,6,,39,167,39167,39167,County,235,27,,,,https://www.boe.ohio.gov/washington/,,,,,0,"32,081",50,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wayne,OH,"54,283",,,0,"20,099",37.03%,,30.69%,67.72%,0.00%,1.59%,"16,660","36,759",,665,173,,,,,0,,,19,,,,,,0,,,0,,,4,,,,,,,,,3,,,,,,,,0,0,1.23%,0.32%,0.00%,0.00%,,Wayne,OH,16,,39,169,39169,39169,County,,,,,,https://www.waynecountyoh.gov,,,,,0,"54,283",,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williams,OH,"18,651",,,0,"8,610",46.16%,,25.96%,72.12%,0.00%,1.91%,"4,842","13,452",,285,70,,,,,0,,,2,,,,,,0,,,0,,,0,,,,,,,,,0,,,,,,,,0,0,1.53%,0.38%,0.00%,0.00%,,Williams,OH,5,,39,171,39171,39171,County,301,11,,,,https://www.williamscountyoh.gov/150/Board-of-Elections,,,,,0,"18,651",,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wood,OH,"67,600",,,0,"5,140",7.60%,,45.29%,52.89%,0.00%,1.81%,"30,617","35,757",,992,211,,,,,4,,,14,,,,,,0,,,0,,,1,,,,,,,,,4,,,,,,,,0,0,1.47%,0.31%,0.00%,0.00%,,Wood,OH,5,,39,173,39173,39173,County,,,,,,https://www.co.wood.oh.us/boe/,,,,,0,"67,600",23,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyandot,OH,"11,403",,,0,"5,729",50.24%,,23.97%,74.21%,0.00%,1.82%,"2,733","8,462",,155,38,,,,,13,,,1,,,,,,0,,,0,,,0,,,,,,,,,1,,,,,,,,0,0,1.36%,0.33%,0.00%,0.00%,,Wyandot,OH,5,,39,175,39175,39175,County,,,,,,https://wyandotboardofelectionsohio.gov,,,,,0,"11,403",15,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio,T,"5,932,446",,,0,"475,669",8.02%,,45.16%,53.18%,0.00%,1.66%,"2,679,165","3,154,834",,"67,569","18,812",,,,,"10,260",,,"1,450",,,,,,27,,,3,,,114,,,,,,,,,212,,,,,,,,0,0,1.14%,0.32%,0.00%,0.00%,,Ohio,T,,,39,,39,39,State,"14,275","3,956",,,,,,,,,-297,"5,932,149","11,666",,,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adair,OK,"7,108",,,,"4,198",59.06%,,19.51%,78.57%,0.21%,1.70%,"1,387","5,585",15,62,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,0,0,0,0.87%,0.00%,0.00%,0.00%,,Adair,OK,2,,40,001,40001,40001,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alfalfa,OK,"2,262",,,,"1,746",77.19%,,10.26%,87.44%,0.27%,2.03%,232,"1,978",6,31,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,0,0,0,1.37%,0.00%,0.00%,0.00%,,Alfalfa,OK,3,,40,003,40003,40003,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atoka,OK,"5,389",,,,"3,792",70.37%,,14.20%,84.56%,0.11%,1.13%,765,"4,557",6,49,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,0,0,0,0.91%,0.00%,0.00%,0.00%,,Atoka,OK,2,,40,005,40005,40005,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beaver,OK,"2,178",,,,"1,778",81.63%,,8.72%,90.36%,0.09%,0.83%,190,"1,968",2,15,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,0,0,0,0.69%,0.00%,0.00%,0.00%,,Beaver,OK,3,,40,007,40007,40007,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beckham,OK,"7,948",,,,"5,719",71.96%,,13.19%,85.14%,0.10%,1.57%,"1,048","6,767",8,100,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,0,0,0,1.26%,0.00%,0.00%,0.00%,,Beckham,OK,3,,40,009,40009,40009,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaine,OK,"3,901",,,,"2,448",62.75%,,17.64%,80.39%,0.18%,1.79%,688,"3,136",7,44,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,0,0,0,1.13%,0.00%,0.00%,0.00%,,Blaine,OK,3,,40,011,40011,40011,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bryan,OK,"15,976",,,,"9,021",56.47%,,20.80%,77.27%,0.12%,1.82%,"3,323","12,344",19,230,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,0,0,0,1.44%,0.00%,0.00%,0.00%,,Bryan,OK,2,,40,013,40013,40013,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caddo,OK,"9,859",,,,"4,343",44.05%,,27.08%,71.13%,0.19%,1.59%,"2,670","7,013",19,97,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,0,0,0,0.98%,0.00%,0.00%,0.00%,,Caddo,OK,3,,40,015,40015,40015,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canadian,OK,"61,940",,,,"26,808",43.28%,,27.03%,70.31%,0.16%,2.50%,"16,742","43,550",100,"1,168",,,,235,,,,,,,,,,,,,,,,,,,,,,,,,,145,,,,,,,0,0,0,1.89%,0.00%,0.00%,0.00%,,Canadian,OK,,,40,017,40017,40017,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carter,OK,"19,479",,,,"10,229",52.51%,,22.95%,75.46%,0.12%,1.47%,"4,470","14,699",24,196,,,,66,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,0,0,0,1.01%,0.00%,0.00%,0.00%,,Carter,OK,4,,40,019,40019,40019,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cherokee,OK,"17,714",,,,"5,196",29.33%,,34.02%,63.36%,0.15%,2.47%,"6,027","11,223",26,320,,,,67,,,,,,,,,,,,,,,,,,,,,,,,,,51,,,,,,,0,0,0,1.81%,0.00%,0.00%,0.00%,,Cherokee,OK,2,,40,021,40021,40021,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Choctaw,OK,"5,832",,,,"3,616",62.00%,,18.55%,80.56%,0.05%,0.84%,"1,082","4,698",3,34,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,0,0,0,0.58%,0.00%,0.00%,0.00%,,Choctaw,OK,2,,40,023,40023,40023,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cimarron,OK,"1,054",,,,900,85.39%,,6.64%,92.03%,0.09%,1.23%,70,970,1,10,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,0,0,0,0.95%,0.00%,0.00%,0.00%,,Cimarron,OK,3,,40,025,40025,40025,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cleveland,OK,"119,778",,,,"16,850",14.07%,,41.60%,55.67%,0.18%,2.56%,"49,827","66,677",210,"2,278",,,,477,,,,,,,,,,,,,,,,,,,,,,,,,,309,,,,,,,0,0,0,1.90%,0.00%,0.00%,0.00%,,Cleveland,OK,4,,40,027,40027,40027,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coal,OK,"2,524",,,,"1,717",68.03%,,14.82%,82.84%,0.16%,2.18%,374,"2,091",4,34,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,0,0,0,1.35%,0.00%,0.00%,0.00%,,Coal,OK,2,,40,029,40029,40029,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comanche,OK,"35,631",,,,"7,158",20.09%,,38.58%,58.67%,0.18%,2.57%,"13,747","20,905",63,699,,,,121,,,,,,,,,,,,,,,,,,,,,,,,,,96,,,,,,,0,0,0,1.96%,0.00%,0.00%,0.00%,,Comanche,OK,4,,40,031,40031,40031,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotton,OK,"2,572",,,,"1,724",67.03%,,15.28%,82.31%,0.23%,2.18%,393,"2,117",6,34,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,0,0,0,1.32%,0.00%,0.00%,0.00%,,Cotton,OK,4,,40,033,40033,40033,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Craig,OK,"6,032",,,,"3,469",57.51%,,20.18%,77.69%,0.18%,1.96%,"1,217","4,686",11,88,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,0,0,0,1.46%,0.00%,0.00%,0.00%,,Craig,OK,2,,40,035,40035,40035,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creek,OK,"30,505",,,,"16,717",54.80%,,21.56%,76.36%,0.16%,1.92%,"6,577","23,294",49,438,,,,83,,,,,,,,,,,,,,,,,,,,,,,,,,64,,,,,,,0,0,0,1.44%,0.00%,0.00%,0.00%,,Creek,OK,,,40,037,40037,40037,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Custer,OK,"10,691",,,,"5,691",53.23%,,22.16%,75.39%,0.13%,2.32%,"2,369","8,060",14,197,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,0,0,0,1.84%,0.00%,0.00%,0.00%,,Custer,OK,3,,40,039,40039,40039,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,OK,"17,245",,,,"10,085",58.48%,,20.13%,78.61%,0.10%,1.15%,"3,472","13,557",18,136,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,,,0,0,0,0.79%,0.00%,0.00%,0.00%,,Delaware,OK,2,,40,041,40041,40041,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dewey,OK,"2,359",,,,"1,910",80.97%,,9.07%,90.04%,0.08%,0.81%,214,"2,124",2,12,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,0,0,0,0.51%,0.00%,0.00%,0.00%,,Dewey,OK,3,,40,043,40043,40043,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ellis,OK,"1,873",,,,"1,526",81.47%,,8.65%,90.12%,0.05%,1.17%,162,"1,688",1,18,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,0,0,0,0.96%,0.00%,0.00%,0.00%,,Ellis,OK,3,,40,045,40045,40045,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garfield,OK,"22,430",,,,"12,051",53.73%,,21.93%,75.66%,0.17%,2.24%,"4,919","16,970",39,371,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,61,,,,,,,0,0,0,1.65%,0.00%,0.00%,0.00%,,Garfield,OK,3,,40,047,40047,40047,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
